Language,Code Value,lat_str,lon_str,genus,family,countrycodes
Carrier,crx,53.75,-123.5,Athapaskan,Na-Dene,CA
Chorote,crq,-22.5,-62.5,Matacoan,Matacoan,BO AR PY
Chinantec (Sochiapan),cso,17.75,-96.66666667,Chinantecan,Oto-Manguean,MX
Chinantec (San Felipe Usila),cuc,17.91666667,-96.5,Chinantecan,Oto-Manguean,MX
Cashinahua,cbs,-10.5,-71.83333333,Panoan,Panoan,BR PE
Diola-Kasa,csk,12.5,-16.75,Northern Atlantic,Niger-Congo,
Chinese Sign Language,csl,35,115,Sign Languages,other,CN
Chatino (Sierra Occidental),ctp,16.25,-97.33333333,Zapotecan,Oto-Manguean,MX
Cuicatec,cut,17.83333333,-96.83333333,Mixtecan,Oto-Manguean,MX
Chinantec (Tepetotutla),cnt,17.83333333,-96.5,Chinantecan,Oto-Manguean,MX
Chin (Tiddim),ctd,23.33333333,93.66666667,Kuki-Chin,Sino-Tibetan,MM
Catalan,cat,41.75,2,Romance,Indo-European,ES
Chitimacha,ctm,29.66666667,-91,Chitimacha,Chitimacha,US
Chatino (Tataltepec),cta,16.16666667,-97.58333333,Zapotecan,Oto-Manguean,MX
Catawba,chc,35.5,-80.5,Catawban,Siouan,US
Cua,cua,15.25,108.5,Bahnaric,Austro-Asiatic,VN
Cubeo,cub,1.333333333,-70.5,Tucanoan,Tucanoan,CO
Cuica,,9,-70.5,Timote-Cuica,Timote-Cuica,VR
Cuiba,cui,6.5,-70,Guahiban,Guahiban,CO
Culina,cul,-6,-70.5,Arauan,Arauan,BR PE
Chumburung,ncu,7.75,0.25,Kwa,Niger-Congo,GH
Cupeño,cup,33.16666667,-116.5,California Uto-Aztecan,Uto-Aztecan,US
Curripaco,kpc,2.5,-68.5,Inland Northern Arawakan,Arawakan,CO
Cuitlatec,,17.5,-101,Cuitlatec,Cuitlatec,MX
Chuukese,chk,7.333333333,151.75,Oceanic,Austronesian,FM
Chavacano,cbk,7,122.0833333,Creoles and Pidgins,other,PH
Chuave,cjv,-6.116666667,145.1166667,Chimbu,Trans-New Guinea,PG
