Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
ant,Antakirinya,Severely Endangered ,50,Australia,-27.05245189,134.4007513
adg,Antekerrepenh,Critically Endangered ,Veryfew,Australia,-23.23189623,139.9715594
aui,Anuki,Threatened ,574,Pacific,-9.6522,149.7656
auq,Anus,Endangered ,320,Southeast Asia,-2.1268, 139.5126
aud,Anuta,Endangered ,upto340,Pacific,-11.611, 169.85
aor,Aore,Dormant ,0,Pacific,-15.5767,167.1638
kbx,Ap Ma,Threatened ,6500,Pacific,-4.35, 144.09
apy,Apalaí,Endangered ,317,South America,0.0,-54.0
apt,Apatani,Vulnerable ,,South Asia,27.5,93.75
api,Apiaká,Dormant ,Ø,South America,-11.1519,-57.3113
apn,Apinayé,Threatened ,1500,South America,-5.5,-48.0
apu,Apuriná,Endangered ,,South America,-9.0,-67.0
apx,Aputai,Endangered ,150,Southeast Asia,-7.6511, 126.4086
ard,Arabana-Wangkangurru,Dormant ,0,Australia,-31.30521924,138.428335
arl,Arabela,Critically Endangered ,30,South America,-2.0,-75.1666666667
arg,Aragonese,Endangered ,10000,Europe,42.2935,-.4394
akr,Araki,Critically Endangered ,15,Pacific,-15.632, 166.952
aaf,Aranadan,Endangered ,200,South Asia,11.35, 75.8
aro,Araona,Endangered ,111,South America,-12.4473,-68.1372
arp,Arapaho,Severely Endangered ,,North America,43.0139,-108.8214
arj,Arapaso,Dormant ,0,South America,0,-66
axg,Arára of Mato Grosso,Dormant ,0,South America,,
awt,Araweté,Endangered ,339,South America,-5.1347,-52.3388
awm,Arawum,Severely Endangered ,60,Pacific,-5.5093,145.8929
aae,Arbëreshë,Vulnerable ,100000,Europe,40.9321,14.8645
arv,Arbore,Threatened ,4441,Africa,5.0,36.75
aqc,Archi,Threatened ,1237,Caucasus;Europe;East Asia,42.0,46.8333333333
aem,Arem,Critically Endangered ,100,Southeast Asia,18.1771,105.3369
aed,Argentine Sign Language,,Noestimateavailable,South America,-34.80, -59.18
agj,Argobba,Vulnerable ,10860,Africa,10.5958,39.9792
agf,Arguni,Endangered ,150,Southeast Asia,-2.6632, 132.5418
aqr,Arhâ,Severely Endangered ,35,Pacific,-21.3047,165.0146
aok,Arhö,Severely Endangered ,62,Pacific,-21.274,165.0503
aac,Ari,Severely Endangered ,50,Pacific,-8,142.40
aea,Ariba,Critically Endangered ,2,Australia,-17.120653,141.833361
aai,Arifama-Miniafia,Threatened ,3470,Pacific,-9.518239975,149.349884
ark,Arikapú,Critically Endangered ,1,South America,-12.0527,-64.7259
ari,Arikara,Critically Endangered ,10,North America,47.648,-101.8327
rup,Aromanian,Threatened ,350000,Europe,40.2292,21.1376
atz,Arta,Critically Endangered ,11,Southeast Asia,16.216, 121.599
alx,Aru,Endangered ,270,Pacific,-3.45706296, 142.539093
arx,Aruá,Critically Endangered ,5,South America,-12.0285,-64.7094
msy,Aruamu,Threatened ,5350,Pacific,-4.29, 144.84
aur,Aruek,Endangered ,614,Pacific,-3.38, 142.72
lsr,Aruop,Endangered ,700,Pacific,-3.46, 142.48
aat,Arvanitika,Vulnerable ,50000,Europe,38.1863, 23.6096
asz,As,Endangered ,230,Southeast Asia,-.736,131.7727
seo,Asaba,Threatened ,145,Pacific,-5.0526,141.9818
cni,Asháninka,Vulnerable ,89516,South America,,
"cpc, cjo, prq, cpu, cpy, cpb",Ashéninka,Vulnerable ,20000,South America,-10.933333, -75.266667
adi-ash,Ashing,Endangered ,1000,South Asia,,
ask,Ashkun,Threatened ,7000,Near East,34.9973,71.0746
atn,Ashtiani,Vulnerable ,21100,Near East,34.4861,51.0562
08a,Aširat Northeastern Neo-Aramaic,Endangered ,,Europe;Near East,,
sjg,Assangori,Vulnerable ,23500,Africa,13.75,21.5
asb,Assiniboine,Endangered ,150,North America,48.4466,-114.8783
ast,Asturian,At risk ,110000,Europe,43.357138,-5.865532
aua,Asumboa,Severely Endangered ,10,Pacific,-11.2982,166.4868
zoo,Asunción Mixtepec Zapotec,Severely Endangered ,100,"Mexico, Central America, Caribbean",16.88, -96.87
asr,Asuri,Threatened ,,South Asia,22.4719,84.9023
asu,Asuriní do Tocantins,Endangered ,384,South America,,
asn,Asuriní of Xingú ,Endangered ,125,South America,-3.9095,-52.4707
atm,Ata,Critically Endangered ,4,Southeast Asia,9.6081,122.9155
amz,Atampaya,Critically Endangered ,4,Australia,-11.48211057,142.3743784
aph,Athpariya,Threatened ,3658,South Asia,26.952,87.3399
atk,Ati (Philippines),Threatened ,1500,Southeast Asia,11.15, 122.51
,Ati (Vanuatu),Severely Endangered ,85,Pacific,-15.393926,166.966450
,Atin,Endangered ,120,Pacific,-15.441585, 166.980183
ato,Atong (Cameroon),Vulnerable ,4200,Africa,6.044967, 9.748787
aot,Atong (India),Threatened ,unknown,South Asia,25.2844,91.1755
atw,Atsugewi,Dormant ,0,North America,40.75,-121.0
atj,Attikamek,Vulnerable ,,North America,48.0,-74.0
avt,Au,Threatened ,4200,Pacific,-3.6, 142.1
aul,Aulua,Endangered ,750,Pacific,-16.36, 167.70
aux,Auré,Dormant ,0,South America,-2.9649,-46.2084
aut,Austral,Threatened ,8000,Pacific,-23.3775,-149.4909
asf,Australian Sign Language,Threatened ,6500,Australia,-35.3075, 149.124417
oci-auv,Auvergnat,Threatened ,150000,Europe,,
smf,Auwe,Endangered ,270,Pacific,-3.34, 141.25
auu,Auye,Endangered ,350,Southeast Asia,-3.5627,135.9915
avv,Avá,Severely Endangered ,16,South America,-14.0847,-48.0418
tmb,Avava,Vulnerable ,700,Pacific,-16.184, 167.477
dix,Aveteian,Severely Endangered ,50,Pacific,-16.33, 167.52
,Avok,Endangered ,500,Pacific,-16.501248,167.730344
kwi,Awa Pit,Vulnerable ,17464,South America,1.5,-78.25
awk,Awabakal,Awakening ,,Australia,-33.09, 151.588
agu,Awakateko,Vulnerable ,16272,"Mexico, Central America, Caribbean",15.4166666667,-91.3333333333
atx,Awaké,Dormant ,,South America,3.9957,-63.5888
aya,Awar,Severely Endangered ,1153,Pacific,-4.14, 144.84
awh,Awbono,Vulnerable ,,Southeast Asia,-5.06, 139.72
bob,Aweer,Endangered ,200,Africa,-.8294,40.8142
awr,Awera,Endangered ,100,Southeast Asia,-2.7084, 136.0395
awe,Awetí,Endangered ,170,South America,-12.2053,-53.3705
1j1,Awiakay,Threatened ,300,Pacific,-4.7, 143.6
auj,Awjilah,Threatened ,2000,Africa,26.6278,24.5214
awn,Awngi,At risk ,500000,Africa,,
gwm,Awngthim,Dormant ,NoknownL1speakers,Australia,-12.587833, 142.023835
kmn,Awtuw,Endangered ,400,Pacific,-3.58, 142.50
typ,Awu Laya,Dormant ,0,Australia,-15.039972,143.360461
aww,Awun,Endangered ,384,Pacific,-3.80, 142.00
auw,Awyi,Endangered ,400,Southeast Asia,-2.91666666667, 140.583333333
ahb,Axamb,Endangered ,750,Pacific,-16.487266,167.664068
quy,Ayacucho Quechua,At risk ,850000,South America,-13.85, -74.32
zoq,Ayapanec Zoque,Critically Endangered ,4,"Mexico, Central America, Caribbean",18.223405, -93.111446
ayd,Ayapathu,Critically Endangered ,6,Australia,-14.47173612,143.2934448
axe,Ayerreyenge,Dormant ,0,Australia,,
ayq,Ayi,Endangered ,430,Pacific,-3.96, 142.41
yyz,Ayizi,Critically Endangered ,,East Asia,24.5964, 103.7329
ayc,Aymara,At risk ,1471256,South America,-16.515304, -68.246467
zaf,Ayoquesco,Endangered ,880,"Mexico, Central America, Caribbean",16.66, -96.86
ayo,Ayoreo,Threatened ,3154,South America,-18.719,-59.6228
ayu,Ayu,Severely Endangered ,onlyinthehundreds,Africa,9.293779, 8.615738
koe-baa,Baale,Threatened ,,Africa,,
bvj,Baan,Threatened ,5000,Africa,4.649881, 7.282008
mbf,Baba Malay,Critically Endangered ,2000,Southeast Asia,1.75, 103.08
bbz,Babalia Creole Arabic,Threatened ,3940,Africa,12.113056, 15.049167
bbk,Babanki,,,,,
bde,Bade,At risk ,,Africa,12.8333333333,10.5
khd,Bädi Kanum,Severely Endangered ,10,Southeast Asia,-8.83333333333,140.75
bia,Badimaya,Dormant ,0,Australia,-29.123373,116.706047
jbi,Badjiri,Critically Endangered ,,Australia,-28.71870395,144.8719484
pbp,Badyara,Vulnerable ,12000,Africa,12.4043,-13.5736
bcg,Baga Binari,Threatened ,3000,Africa,10.4013,-14.4799
bgo,Baga Koga,Threatened ,5000,Africa,10.026644,-14.040625
bmd,Baga Manduri,Threatened ,4000,Africa,10.835666, -14.542517
